,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_linearsvr__C,param_linearsvr__dual,param_linearsvr__epsilon,param_linearsvr__loss,param_linearsvr__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.09852776527404786,0.023412029785236002,0.058334064483642575,0.028095946940673352,0.1,True,0.1,epsilon_insensitive,0.001,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.1, 'linearsvr__loss': 'epsilon_insensitive', 'linearsvr__tol': 0.001}",-0.265808863669762,-0.3010669570207479,-0.3265278454211235,-0.3219914393476885,-0.3300106003498074,-0.30908114116182583,0.02385716956161376,27,-0.3199567043365194,-0.3106946669437516,-0.30433994181054996,-0.30538653335437843,-0.3034842665804308,-0.308772422605126,0.006129582486575928
1,0.11986889839172363,0.02420853588987526,0.06279597282409669,0.02578599659147227,0.1,True,0.1,epsilon_insensitive,0.0001,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.1, 'linearsvr__loss': 'epsilon_insensitive', 'linearsvr__tol': 0.0001}",-0.26557487531345036,-0.30092740758058667,-0.32660534678840253,-0.32197662384235093,-0.3301147389647089,-0.3090397984978999,0.023979464073426486,25,-0.31988385257968993,-0.3105997388266881,-0.30433213324129094,-0.30533162369481437,-0.30353093881410237,-0.3087356574313171,0.006096304148753536
2,0.09525923728942871,0.010389253626965668,0.04400901794433594,0.01379587549958988,0.1,True,0.1,epsilon_insensitive,1e-05,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.1, 'linearsvr__loss': 'epsilon_insensitive', 'linearsvr__tol': 1e-05}",-0.265596257966148,-0.3009283360970883,-0.3265916803836249,-0.322044818111598,-0.3301144051738513,-0.30905509954646215,0.023976963965575315,26,-0.3198399552047614,-0.3106108559608537,-0.3043357502772291,-0.30537125827693123,-0.30351543662746777,-0.3087346512694486,0.006078665369639225
3,0.40631723403930664,0.026352092317327734,0.043790245056152345,0.021306575898912793,0.1,True,0.1,squared_epsilon_insensitive,0.001,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.1, 'linearsvr__loss': 'squared_epsilon_insensitive', 'linearsvr__tol': 0.001}",-0.2679474049955777,-0.3036702237158374,-0.3303245261276489,-0.32531070893787,-0.33382374496657113,-0.31221532174870104,0.02449091079109984,55,-0.32274969807807724,-0.31346667296817265,-0.3069552282997282,-0.3076315483755412,-0.30603260519533343,-0.31136715058337056,0.006258554758130766
4,0.9468337535858155,0.07267587321772444,0.05077662467956543,0.020719878372214503,0.1,True,0.1,squared_epsilon_insensitive,0.0001,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.1, 'linearsvr__loss': 'squared_epsilon_insensitive', 'linearsvr__tol': 0.0001}",-0.2679489698478042,-0.3036652601069671,-0.3303149977690344,-0.32532262727447114,-0.33381829779860217,-0.3122140305593758,0.024489596814791174,51,-0.3227548798316431,-0.31346675478191594,-0.3069568522063773,-0.30765744968331205,-0.30602553913036445,-0.3113722951267225,0.006258338571022978
5,1.5010594367980956,0.1562801017003481,0.04277095794677734,0.022391172343525518,0.1,True,0.1,squared_epsilon_insensitive,1e-05,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.1, 'linearsvr__loss': 'squared_epsilon_insensitive', 'linearsvr__tol': 1e-05}",-0.26795204858009114,-0.30366432077566696,-0.33031389240742653,-0.3253248202739616,-0.33381977195958323,-0.3122149707993459,0.024488880942220122,54,-0.3227570562782944,-0.313466801093679,-0.30695751414408967,-0.3076603871952351,-0.30602600497892957,-0.31137355273804557,0.0062586117274818845
6,0.07550373077392578,0.0034588952820069395,0.034430408477783205,0.010167012524703183,0.1,True,0.5,epsilon_insensitive,0.001,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.5, 'linearsvr__loss': 'epsilon_insensitive', 'linearsvr__tol': 0.001}",-0.2657435349782514,-0.3009298129191528,-0.3266809205754134,-0.3221864684520743,-0.3302272345023998,-0.30915359428545836,0.02397175469975659,28,-0.3199250324813478,-0.3108216889178128,-0.3044320058644912,-0.3054821881766015,-0.3037072460275757,-0.3088736322935658,0.006063824804611975
7,0.07487082481384277,0.0036971144419469006,0.038010787963867185,0.006507548324298282,0.1,True,0.5,epsilon_insensitive,0.0001,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.5, 'linearsvr__loss': 'epsilon_insensitive', 'linearsvr__tol': 0.0001}",-0.26562644197408214,-0.3011702249606035,-0.3267470619265061,-0.32207041929199803,-0.3302699649429807,-0.3091768226192341,0.024002583435827743,29,-0.3198448113714403,-0.3108597457052026,-0.30446049414694903,-0.3054097416410042,-0.3036825429294598,-0.3088514671588112,0.006045340286813355
8,0.08354682922363281,0.006087581201461084,0.03790469169616699,0.007685552617696156,0.1,True,0.5,epsilon_insensitive,1e-05,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.5, 'linearsvr__loss': 'epsilon_insensitive', 'linearsvr__tol': 1e-05}",-0.2656258418089749,-0.30115420964727846,-0.3267700233718912,-0.32210534171377353,-0.33028061128090414,-0.3091872055645644,0.02401285873853084,30,-0.319856123648511,-0.3108565134119546,-0.3044850566340493,-0.3054099348156747,-0.30369071060389774,-0.3088596678228175,0.006044260627037428
9,0.4471306324005127,0.039038175930007496,0.052346420288085935,0.020261129174208636,0.1,True,0.5,squared_epsilon_insensitive,0.001,"{'linearsvr__C': 0.1, 'linearsvr__dual': True, 'linearsvr__epsilon': 0.5, 'linearsvr__loss': 'squared_epsilon_insensitive', 'linearsvr__tol': 0.001}",-0.2680845459575129,-0.30380026076037653,-0.3304541612858223,-0.32545231815953696,-0.33396403747860826,-0.31235106472837143,0.024491330997429856,73,-0.32289292213071463,-0.31359982478172493,-0.3070770056802975,-0.3077697370289113,-0.306157574192862,-0.31149941276290205,0.006264617963716647
